N,Bubble Sort (Tempo),Bubble Sort (Operacoes),Bubble Sort Otimizado (Tempo),Bubble Sort Otimizado (Operacoes),Insertion Sort (Tempo),Insertion Sort (Operacoes),Merge Sort (Tempo),Merge Sort (Operacoes),Quick Sort (Tempo),Quick Sort (Operacoes)
165000,43525,20419117131,45998,20419060178,3340,6806864630,19,8311003,11,5220118
166000,44121,20671596080,46734,20671492340,3393,6893845079,19,8365992,11,5005691
167000,44602,20910135840,47089,20909921000,3419,6965886339,19,8421477,11,5200910
168000,45149,21162318786,47741,21162101316,3463,7050570785,19,8476624,11,5288876
169000,45703,21425843367,48513,21425682906,3507,7145596866,20,8531856,11,5404086
170000,46303,21677825283,48806,21677731755,3543,7228080282,20,8587460,12,5434436
171000,46737,21938662991,49589,21938602960,3591,7318419490,20,8642221,11,5491831
172000,47314,22155834675,49923,22155699215,3611,7364092674,20,8697867,11,5378885
173000,47756,22441757827,50443,22441708057,3668,7477517326,20,8752816,11,5304676
174000,48328,22678826483,51798,22678222033,3703,7541087482,20,8807642,12,5656950
175000,48973,22981239951,51722,22981179573,3762,7669002450,20,8862879,11,5597364
176000,49574,23225136239,52509,23225082611,3796,7737400238,20,8917532,12,5630225
177000,50065,23508687916,52844,23508628231,3839,7844453415,20,8973714,11,5406926
178000,50671,23734857916,53634,23734780888,3873,7893124915,21,9028376,12,5706698
179000,51259,24008641000,54343,24008534970,3917,7988409499,21,9082929,12,5541885
180000,51772,24299877468,54659,24299800440,3975,8100147467,21,9138488,12,5912217
181000,52369,24576765740,55478,24576696734,4015,8196537239,21,9193031,12,5912568
182000,53035,24839543672,55964,24839296216,4061,8277816671,21,9248646,12,5754787
183000,53561,25119895793,56484,25119853888,4099,8375670292,21,9303337,12,6018798
184000,54082,25391234924,57178,25391112659,4151,8463510923,21,9358941,12,6268969
185000,54720,25680772065,57783,25680770295,4204,8568549564,21,9414174,12,6074218
186000,55202,25931316233,58251,25931202707,4227,8633595232,22,9468178,12,5936289
187000,55952,26228957931,59017,26228747655,4285,8744738430,22,9523548,13,5988671
188000,56472,26523531582,59626,26523425091,4339,8851813581,21,9578613,12,5774715
189000,57020,26794758708,60565,26794392768,4376,8934542207,22,9632772,12,5902235
190000,57764,27101043407,60941,27101003221,4437,9051328406,22,9688170,12,5814716
191000,58269,27358341502,61571,27358235932,4465,9118128001,21,9743074,13,6273895
192000,58966,27657661860,62554,27657539595,4518,9225949859,22,9797749,13,6411875
193000,59520,27931062224,63158,27931051639,4573,9306851723,23,9852795,13,6078612
194000,60137,28235601424,63557,28235013354,4622,9417892423,23,9906713,13,6421692
195000,60652,28501012244,64363,28500916103,4641,9488804743,23,9962362,13,6367318
196000,61336,28819082584,65198,28818020431,4709,9611376583,23,10017067,13,6389036
197000,61907,29096090943,65842,29095787133,4754,9691886442,23,10072597,13,6219613
198000,62621,29423767074,66134,29423133699,4806,9822064073,23,10127257,13,6300372
199000,63316,29710071490,66868,29709943725,4853,9909869989,23,10182921,13,6362576
200000,63970,29984388981,67570,29984320716,4889,9984688980,23,10238097,13,6338409
